C02818V03389,Agricultural Product,TLIST(M1),Month,STATISTIC,Statistic Label,UNIT,VALUE
1,Agricultural output price index,200503,2005M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.662
1,Agricultural output price index,200503,2005M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.389
1,Agricultural output price index,200504,2005M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,102.358
1,Agricultural output price index,200504,2005M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,102.57
1,Agricultural output price index,200505,2005M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.74
1,Agricultural output price index,200505,2005M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.52
1,Agricultural output price index,200506,2005M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,102.014
1,Agricultural output price index,200506,2005M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.524
1,Agricultural output price index,200507,2005M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.275
1,Agricultural output price index,200507,2005M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.449
1,Agricultural output price index,200508,2005M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.751
1,Agricultural output price index,200508,2005M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.421
1,Agricultural output price index,200509,2005M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,97.489
1,Agricultural output price index,200509,2005M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.203
1,Agricultural output price index,200510,2005M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.195
1,Agricultural output price index,200510,2005M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,98.685
1,Agricultural output price index,200511,2005M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.292
1,Agricultural output price index,200511,2005M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,101.353
1,Agricultural output price index,200512,2005M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.7
1,Agricultural output price index,200512,2005M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.086
1,Agricultural output price index,200601,2006M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,106.033
1,Agricultural output price index,200601,2006M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.698
1,Agricultural output price index,200602,2006M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,105.058
1,Agricultural output price index,200602,2006M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.407
1,Agricultural output price index,200603,2006M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,105.028
1,Agricultural output price index,200603,2006M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.681
1,Agricultural output price index,200604,2006M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,105.457
1,Agricultural output price index,200604,2006M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.868
1,Agricultural output price index,200605,2006M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,106.008
1,Agricultural output price index,200605,2006M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,105.669
1,Agricultural output price index,200606,2006M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.931
1,Agricultural output price index,200606,2006M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.394
1,Agricultural output price index,200607,2006M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,101.577
1,Agricultural output price index,200607,2006M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.703
1,Agricultural output price index,200608,2006M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,100.935
1,Agricultural output price index,200608,2006M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.715
1,Agricultural output price index,200609,2006M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.655
1,Agricultural output price index,200609,2006M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.493
1,Agricultural output price index,200610,2006M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.61
1,Agricultural output price index,200610,2006M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,105.165
1,Agricultural output price index,200611,2006M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.643
1,Agricultural output price index,200611,2006M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.766
1,Agricultural output price index,200612,2006M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.714
1,Agricultural output price index,200612,2006M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.107
1,Agricultural output price index,200701,2007M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,106.483
1,Agricultural output price index,200701,2007M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.21
1,Agricultural output price index,200702,2007M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,105.563
1,Agricultural output price index,200702,2007M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.846
1,Agricultural output price index,200703,2007M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.555
1,Agricultural output price index,200703,2007M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.197
1,Agricultural output price index,200704,2007M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,106.268
1,Agricultural output price index,200704,2007M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,105.918
1,Agricultural output price index,200705,2007M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,106.596
1,Agricultural output price index,200705,2007M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,106.004
1,Agricultural output price index,200706,2007M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,109.721
1,Agricultural output price index,200706,2007M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,109.104
1,Agricultural output price index,200707,2007M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,109.642
1,Agricultural output price index,200707,2007M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,111.835
1,Agricultural output price index,200708,2007M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,115.861
1,Agricultural output price index,200708,2007M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,118.881
1,Agricultural output price index,200709,2007M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,121.031
1,Agricultural output price index,200709,2007M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,122.113
1,Agricultural output price index,200710,2007M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,121.518
1,Agricultural output price index,200710,2007M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,122.259
1,Agricultural output price index,200711,2007M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,122.182
1,Agricultural output price index,200711,2007M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,122.564
1,Agricultural output price index,200712,2007M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,123.816
1,Agricultural output price index,200712,2007M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,123.127
1,Agricultural output price index,200801,2008M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,127.47
1,Agricultural output price index,200801,2008M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,124.743
1,Agricultural output price index,200802,2008M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,130.314
1,Agricultural output price index,200802,2008M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,128.118
1,Agricultural output price index,200803,2008M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,130.27
1,Agricultural output price index,200803,2008M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,129.068
1,Agricultural output price index,200804,2008M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,125.894
1,Agricultural output price index,200804,2008M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,126.48
1,Agricultural output price index,200805,2008M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,125.034
1,Agricultural output price index,200805,2008M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,123.965
1,Agricultural output price index,200806,2008M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,125.823
1,Agricultural output price index,200806,2008M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,125.082
1,Agricultural output price index,200807,2008M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,122.5
1,Agricultural output price index,200807,2008M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,124.829
1,Agricultural output price index,200808,2008M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,118.34
1,Agricultural output price index,200808,2008M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,121.169
1,Agricultural output price index,200809,2008M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,117.59
1,Agricultural output price index,200809,2008M09,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,118.833
1,Agricultural output price index,200810,2008M10,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,115.755
1,Agricultural output price index,200810,2008M10,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,116.713
1,Agricultural output price index,200811,2008M11,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,113.437
1,Agricultural output price index,200811,2008M11,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,114.006
1,Agricultural output price index,200812,2008M12,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,113.547
1,Agricultural output price index,200812,2008M12,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,112.942
1,Agricultural output price index,200901,2009M01,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,110.484
1,Agricultural output price index,200901,2009M01,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,108.004
1,Agricultural output price index,200902,2009M02,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,108.892
1,Agricultural output price index,200902,2009M02,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,107.003
1,Agricultural output price index,200903,2009M03,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.885
1,Agricultural output price index,200903,2009M03,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.873
1,Agricultural output price index,200904,2009M04,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,103.708
1,Agricultural output price index,200904,2009M04,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.375
1,Agricultural output price index,200905,2009M05,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.203
1,Agricultural output price index,200905,2009M05,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,103.006
1,Agricultural output price index,200906,2009M06,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,104.867
1,Agricultural output price index,200906,2009M06,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,104.286
1,Agricultural output price index,200907,2009M07,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,99.221
1,Agricultural output price index,200907,2009M07,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,100.976
1,Agricultural output price index,200908,2009M08,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,95.61
1,Agricultural output price index,200908,2009M08,AHM02S1,Agricultural Input and Output Price Indices (Seasonally Adjusted),Base 2005=100,97.737
1,Agricultural output price index,200909,2009M09,AHM02C1,Agricultural Input and Output Price Indices,Base 2005=100,98.016
