Year,Agricultural Product,VALUE
2005,Agricultural output price index,100.449
2005,Agricultural output price index,95.751
2005,Agricultural output price index,98.421
2005,Agricultural output price index,97.489
2005,Agricultural output price index,98.203
2005,Agricultural output price index,98.195
2005,Agricultural output price index,98.685
2005,Agricultural output price index,101.292
2005,Agricultural output price index,101.353
2005,Agricultural output price index,104.7
2005,Agricultural output price index,104.086
2006,Agricultural output price index,106.033
2006,Agricultural output price index,103.698
2006,Agricultural output price index,105.058
2006,Agricultural output price index,103.407
2006,Agricultural output price index,105.028
2006,Agricultural output price index,104.681
2006,Agricultural output price index,105.457
2006,Agricultural output price index,104.868
2006,Agricultural output price index,106.008
2006,Agricultural output price index,105.669
2006,Agricultural output price index,104.931
2006,Agricultural output price index,104.394
2006,Agricultural output price index,101.577
2006,Agricultural output price index,103.703
2006,Agricultural output price index,100.935
2006,Agricultural output price index,103.715
2006,Agricultural output price index,103.655
2006,Agricultural output price index,104.493
2006,Agricultural output price index,104.61
2006,Agricultural output price index,105.165
2006,Agricultural output price index,104.643
2006,Agricultural output price index,104.766
2006,Agricultural output price index,104.714
2006,Agricultural output price index,104.107
2007,Agricultural output price index,106.483
2007,Agricultural output price index,104.21
2007,Agricultural output price index,105.563
2007,Agricultural output price index,103.846
2007,Agricultural output price index,104.555
2007,Agricultural output price index,104.197
2007,Agricultural output price index,106.268
2007,Agricultural output price index,105.918
2007,Agricultural output price index,106.596
2007,Agricultural output price index,106.004
2007,Agricultural output price index,109.721
2007,Agricultural output price index,109.104
2007,Agricultural output price index,109.642
2007,Agricultural output price index,111.835
2007,Agricultural output price index,115.861
2007,Agricultural output price index,118.881
2007,Agricultural output price index,121.031
2007,Agricultural output price index,122.113
2007,Agricultural output price index,121.518
2007,Agricultural output price index,122.259
2007,Agricultural output price index,122.182
2007,Agricultural output price index,122.564
2007,Agricultural output price index,123.816
2007,Agricultural output price index,123.127
2008,Agricultural output price index,127.47
2008,Agricultural output price index,124.743
2008,Agricultural output price index,130.314
2008,Agricultural output price index,128.118
2008,Agricultural output price index,130.27
2008,Agricultural output price index,129.068
2008,Agricultural output price index,125.894
2008,Agricultural output price index,126.48
2008,Agricultural output price index,125.034
2008,Agricultural output price index,123.965
2008,Agricultural output price index,125.823
2008,Agricultural output price index,125.082
2008,Agricultural output price index,122.5
2008,Agricultural output price index,124.829
2008,Agricultural output price index,118.34
2008,Agricultural output price index,121.169
2008,Agricultural output price index,117.59
2008,Agricultural output price index,118.833
2008,Agricultural output price index,115.755
2008,Agricultural output price index,116.713
2008,Agricultural output price index,113.437
2008,Agricultural output price index,114.006
2008,Agricultural output price index,113.547
2008,Agricultural output price index,112.942
2009,Agricultural output price index,110.484
2009,Agricultural output price index,108.004
2009,Agricultural output price index,108.892
2009,Agricultural output price index,107.003
2009,Agricultural output price index,103.885
2009,Agricultural output price index,103.873
2009,Agricultural output price index,103.708
2009,Agricultural output price index,103.375
2009,Agricultural output price index,104.203
2009,Agricultural output price index,103.006
2009,Agricultural output price index,104.867
2009,Agricultural output price index,104.286
2009,Agricultural output price index,99.221
2009,Agricultural output price index,100.976
2009,Agricultural output price index,95.61
2009,Agricultural output price index,97.737
2009,Agricultural output price index,98.016
2009,Agricultural output price index,99.276
2009,Agricultural output price index,99.183
2009,Agricultural output price index,100.29
2009,Agricultural output price index,100.57
2009,Agricultural output price index,101.252
2009,Agricultural output price index,101.912
2009,Agricultural output price index,101.27
2010,Agricultural output price index,106.646
2010,Agricultural output price index,104.112
2010,Agricultural output price index,105.788
2010,Agricultural output price index,103.896
2010,Agricultural output price index,106.615
2010,Agricultural output price index,106.09
2010,Agricultural output price index,108.044
2010,Agricultural output price index,108.214
2010,Agricultural output price index,112.169
2010,Agricultural output price index,110.683
2010,Agricultural output price index,113.054
2010,Agricultural output price index,112.475
2010,Agricultural output price index,110.704
2010,Agricultural output price index,112.538
2010,Agricultural output price index,113.268
2010,Agricultural output price index,115.737
2010,Agricultural output price index,112.821
2010,Agricultural output price index,114.546
2010,Agricultural output price index,112.736
2010,Agricultural output price index,114.335
2010,Agricultural output price index,113.969
2010,Agricultural output price index,114.792
2010,Agricultural output price index,117.77
2010,Agricultural output price index,116.954
2011,Agricultural output price index,122.589
2011,Agricultural output price index,119.389
2011,Agricultural output price index,123.402
2011,Agricultural output price index,121.215
2011,Agricultural output price index,123.011
2011,Agricultural output price index,123.002
2011,Agricultural output price index,125.318
2011,Agricultural output price index,124.779
2011,Agricultural output price index,128.717
2011,Agricultural output price index,126.902
2011,Agricultural output price index,127.666
2011,Agricultural output price index,127.085
2011,Agricultural output price index,126.57
2011,Agricultural output price index,128.648
2011,Agricultural output price index,127.091
2011,Agricultural output price index,129.877
2011,Agricultural output price index,127.866
2011,Agricultural output price index,130.013
2011,Agricultural output price index,129.237
2011,Agricultural output price index,131.344
2011,Agricultural output price index,135.404
2011,Agricultural output price index,136.427
2011,Agricultural output price index,136.523
2011,Agricultural output price index,135.48
2003,Crop output,102.419
2003,Crop output,102.411
2003,Crop output,102.519
2003,Crop output,102.467
2003,Crop output,99.223
2003,Crop output,94.119
2003,Crop output,96.923
2003,Crop output,95.252
2003,Crop output,109.381
2003,Crop output,102.701
2003,Crop output,100.487
2003,Crop output,96.768
2004,Crop output,93.856
2004,Crop output,93.367
2004,Crop output,94.287
2004,Crop output,95.064
2004,Crop output,97.583
2004,Crop output,97.264
2004,Crop output,98.109
2004,Crop output,89.809
2004,Crop output,97.844
2004,Crop output,93.61
2004,Crop output,92.272
2004,Crop output,92.319
2005,Crop output,97.595
2005,Crop output,97.401
2005,Crop output,96.003
2005,Crop output,96.385
2005,Crop output,96.999
2005,Crop output,103.981
2005,Crop output,101.558
2005,Crop output,102.35
2005,Crop output,108.269
2005,Crop output,110.706
2005,Crop output,109.434
2005,Crop output,108.771
2006,Crop output,107.941
2006,Crop output,108.782
2006,Crop output,110.527
2006,Crop output,112.653
2006,Crop output,114.307
2006,Crop output,114.301
2006,Crop output,113.272
2006,Crop output,114.537
2006,Crop output,117.139
2006,Crop output,117.147
2006,Crop output,116.366
2006,Crop output,116.236
2007,Crop output,117.144
2007,Crop output,118.04
2007,Crop output,119.922
2007,Crop output,121.711
2007,Crop output,121.826
2007,Crop output,119.584
2007,Crop output,110.805
2007,Crop output,135.233
2007,Crop output,139.851
2007,Crop output,144.285
2007,Crop output,143.254
2007,Crop output,142.462
2008,Crop output,144.57
2008,Crop output,145.842
2008,Crop output,149.472
2008,Crop output,149.82
2008,Crop output,151.115
2008,Crop output,152.404
2008,Crop output,144.188
2008,Crop output,118.083
2008,Crop output,125.676
2008,Crop output,127.97
2008,Crop output,127.604
2008,Crop output,126.241
2009,Crop output,126.369
2009,Crop output,129.969
2009,Crop output,131.086
2009,Crop output,131.781
2009,Crop output,133.574
2009,Crop output,132.972
2009,Crop output,119.154
2009,Crop output,101.071
2009,Crop output,105.866
2009,Crop output,106.961
2009,Crop output,107.393
2009,Crop output,107.909
2010,Crop output,116.811
2010,Crop output,116.11
2010,Crop output,116.513
2010,Crop output,116.276
2010,Crop output,116.384
2010,Crop output,117.893
2010,Crop output,110.553
2010,Crop output,125.71
2010,Crop output,125.673
2010,Crop output,127.185
2010,Crop output,126.506
2010,Crop output,126.273
2011,Crop output,126.671
2011,Crop output,128.169
2011,Crop output,128.036
2011,Crop output,127.735
2011,Crop output,127.73
2011,Crop output,128.306
2011,Crop output,121.586
2011,Crop output,123.277
2011,Crop output,127.612
2011,Crop output,131.489
2011,Crop output,128.767
2011,Crop output,128.128
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,94.968
2003,Cereals including seeds,112.785
2003,Cereals including seeds,112.785
2003,Cereals including seeds,112.785
2003,Cereals including seeds,112.785
2003,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,112.785
2004,Cereals including seeds,104.449
2004,Cereals including seeds,104.449
2004,Cereals including seeds,104.449
2004,Cereals including seeds,104.449
2004,Cereals including seeds,104.449
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,99.781
2005,Cereals including seeds,100.307
2005,Cereals including seeds,100.307
2005,Cereals including seeds,100.307
2005,Cereals including seeds,100.307
2005,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,100.307
2006,Cereals including seeds,115.248
2006,Cereals including seeds,115.248
2006,Cereals including seeds,115.248
2006,Cereals including seeds,115.248
2006,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,115.248
2007,Cereals including seeds,193.201
2007,Cereals including seeds,193.201
2007,Cereals including seeds,193.201
2007,Cereals including seeds,193.201
2007,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,193.201
2008,Cereals including seeds,136.695
2008,Cereals including seeds,136.695
2008,Cereals including seeds,136.695
2008,Cereals including seeds,136.695
2008,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,136.695
2009,Cereals including seeds,98.044
2009,Cereals including seeds,98.044
2009,Cereals including seeds,98.044
2009,Cereals including seeds,98.044
2009,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,98.044
2010,Cereals including seeds,156.565
2010,Cereals including seeds,156.565
2010,Cereals including seeds,156.565
2010,Cereals including seeds,156.565
2010,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,156.565
2011,Cereals including seeds,166.24
2011,Cereals including seeds,166.24
2011,Cereals including seeds,166.24
2011,Cereals including seeds,166.24
2011,Cereals including seeds,166.24
2003,Vegetables,95.315
2003,Vegetables,97.213
2003,Vegetables,96.047
2003,Vegetables,96.16
2003,Vegetables,95.9
2003,Vegetables,94.831
2003,Vegetables,94.6
2003,Vegetables,94.224
2003,Vegetables,92.275
2003,Vegetables,92.184
2003,Vegetables,88.993
2003,Vegetables,89.492
2003,Vegetables,90.121
2003,Vegetables,90.526
2003,Vegetables,97.416
2003,Vegetables,95.073
2003,Vegetables,102.67
2003,Vegetables,100.648
2003,Vegetables,94.962
2003,Vegetables,94.429
2003,Vegetables,94.531
2003,Vegetables,95.616
2003,Vegetables,93.041
2003,Vegetables,95.118
2004,Vegetables,91.431
2004,Vegetables,93.002
2004,Vegetables,92.18
2004,Vegetables,92.337
2004,Vegetables,94.738
2004,Vegetables,93.842
2004,Vegetables,94.393
2004,Vegetables,93.975
2004,Vegetables,95.728
2004,Vegetables,95.666
2004,Vegetables,94.161
2004,Vegetables,94.809
2004,Vegetables,95.056
2004,Vegetables,95.482
2004,Vegetables,97.106
2004,Vegetables,95.377
2004,Vegetables,97.39
2004,Vegetables,95.961
2004,Vegetables,97.52
2004,Vegetables,96.93
2004,Vegetables,96.323
2004,Vegetables,96.977
2004,Vegetables,96.615
2004,Vegetables,98.061
2005,Vegetables,100.0
2005,Vegetables,100.004
2005,Vegetables,100.0
2005,Vegetables,100.015
2005,Vegetables,100.0
2005,Vegetables,100.05
2005,Vegetables,100.0
2005,Vegetables,100.092
2005,Vegetables,100.0
2005,Vegetables,100.055
2005,Vegetables,100.0
2005,Vegetables,100.066
2005,Vegetables,100.0
2005,Vegetables,100.01
2005,Vegetables,100.0
2005,Vegetables,99.981
2005,Vegetables,100.0
2005,Vegetables,99.968
2005,Vegetables,100.0
2005,Vegetables,99.784
2005,Vegetables,100.0
2005,Vegetables,99.974
2005,Vegetables,100.0
2005,Vegetables,99.987
2006,Vegetables,99.98
2006,Vegetables,99.978
2006,Vegetables,99.98
2006,Vegetables,99.993
2006,Vegetables,99.96
2006,Vegetables,100.009
2006,Vegetables,99.96
2006,Vegetables,100.089
2006,Vegetables,99.96
2006,Vegetables,100.033
2006,Vegetables,99.96
2006,Vegetables,100.052
2006,Vegetables,99.96
2006,Vegetables,99.961
2006,Vegetables,99.97
2006,Vegetables,99.936
2006,Vegetables,99.97
2006,Vegetables,99.905
2006,Vegetables,99.98
2006,Vegetables,99.741
2006,Vegetables,99.98
2006,Vegetables,99.928
2006,Vegetables,99.98
2006,Vegetables,99.965
2007,Vegetables,99.98
2007,Vegetables,99.965
2007,Vegetables,99.98
2007,Vegetables,99.987
2007,Vegetables,99.96
2007,Vegetables,100.053
2007,Vegetables,99.96
2007,Vegetables,100.133
2007,Vegetables,99.96
2007,Vegetables,100.082
2007,Vegetables,99.96
2007,Vegetables,100.113
2007,Vegetables,99.96
2007,Vegetables,99.933
2007,Vegetables,99.97
2007,Vegetables,99.919
2007,Vegetables,99.97
2007,Vegetables,99.84
2007,Vegetables,99.98
2007,Vegetables,99.69
2007,Vegetables,99.98
2007,Vegetables,99.868
2007,Vegetables,99.98
2007,Vegetables,99.971
2008,Vegetables,105.26
2008,Vegetables,105.219
2008,Vegetables,105.39
2008,Vegetables,105.376
2008,Vegetables,105.29
2008,Vegetables,105.449
2008,Vegetables,105.34
2008,Vegetables,105.608
2008,Vegetables,105.62
2008,Vegetables,105.849
2008,Vegetables,106.04
2008,Vegetables,106.295
2008,Vegetables,107.71
2008,Vegetables,107.635
2008,Vegetables,106.52
2008,Vegetables,106.458
2008,Vegetables,106.71
2008,Vegetables,106.474
2008,Vegetables,106.3
2008,Vegetables,105.923
2008,Vegetables,105.75
2008,Vegetables,105.529
2008,Vegetables,105.27
2008,Vegetables,105.272
2009,Vegetables,106.79
2009,Vegetables,106.713
2009,Vegetables,106.67
2009,Vegetables,106.62
2009,Vegetables,106.36
2009,Vegetables,106.549
2009,Vegetables,106.17
2009,Vegetables,106.559
2009,Vegetables,106.33
2009,Vegetables,106.704
2009,Vegetables,106.35
2009,Vegetables,106.724
2009,Vegetables,107.61
2009,Vegetables,107.479
2009,Vegetables,106.91
2009,Vegetables,106.856
2009,Vegetables,107.26
2009,Vegetables,106.931
2009,Vegetables,107.44
2009,Vegetables,106.991
2009,Vegetables,107.25
2009,Vegetables,106.901
2009,Vegetables,106.81
2009,Vegetables,106.817
2010,Vegetables,107.71
2010,Vegetables,107.593
2010,Vegetables,107.56
2010,Vegetables,107.474
2010,Vegetables,107.06
2010,Vegetables,107.264
2010,Vegetables,106.7
2010,Vegetables,107.162
2010,Vegetables,106.71
2010,Vegetables,107.266
2010,Vegetables,106.35
2010,Vegetables,106.836
2010,Vegetables,107.74
2010,Vegetables,107.57
2010,Vegetables,107.35
2010,Vegetables,107.299
2010,Vegetables,107.82
2010,Vegetables,107.412
2010,Vegetables,108.21
2010,Vegetables,107.713
2010,Vegetables,108.17
2010,Vegetables,107.702
2010,Vegetables,107.81
2010,Vegetables,107.815
2011,Vegetables,108.33
2011,Vegetables,108.177
2011,Vegetables,108.36
2011,Vegetables,108.259
2011,Vegetables,108.14
2011,Vegetables,108.297
2011,Vegetables,107.84
2011,Vegetables,108.36
2011,Vegetables,107.73
2011,Vegetables,108.467
2011,Vegetables,107.5
2011,Vegetables,108.088
2011,Vegetables,109.07
2011,Vegetables,108.882
2011,Vegetables,108.6
2011,Vegetables,108.538
2011,Vegetables,108.89
2011,Vegetables,108.423
2011,Vegetables,109.13
2011,Vegetables,108.593
2011,Vegetables,108.96
2011,Vegetables,108.413
2011,Vegetables,108.45
2011,Vegetables,108.454
2003,Potatoes including seeds,127.248
2003,Potatoes including seeds,133.674
2003,Potatoes including seeds,125.952
2003,Potatoes including seeds,130.957
2003,Potatoes including seeds,126.924
2003,Potatoes including seeds,130.99
2003,Potatoes including seeds,129.191
2003,Potatoes including seeds,128.929
2003,Potatoes including seeds,116.263
2003,Potatoes including seeds,109.809
2003,Potatoes including seeds,95.18
2003,Potatoes including seeds,87.912
2003,Potatoes including seeds,108.083
2003,Potatoes including seeds,98.546
2003,Potatoes including seeds,55.633
2003,Potatoes including seeds,81.824
2003,Potatoes including seeds,121.811
2003,Potatoes including seeds,101.757
2003,Potatoes including seeds,100.911
2003,Potatoes including seeds,97.226
2003,Potatoes including seeds,89.823
2003,Potatoes including seeds,91.255
2003,Potatoes including seeds,75.194
2003,Potatoes including seeds,78.881
2004,Potatoes including seeds,62.652
2004,Potatoes including seeds,66.692
2004,Potatoes including seeds,60.876
2004,Potatoes including seeds,62.646
2004,Potatoes including seeds,60.823
2004,Potatoes including seeds,61.467
2004,Potatoes including seeds,66.577
2004,Potatoes including seeds,64.188
2004,Potatoes including seeds,77.536
2004,Potatoes including seeds,71.721
2004,Potatoes including seeds,78.89
2004,Potatoes including seeds,73.136
2004,Potatoes including seeds,81.686
2004,Potatoes including seeds,76.283
2004,Potatoes including seeds,46.515
2004,Potatoes including seeds,68.155
2004,Potatoes including seeds,89.258
2004,Potatoes including seeds,77.766
2004,Potatoes including seeds,65.851
2004,Potatoes including seeds,63.459
2004,Potatoes including seeds,59.552
2004,Potatoes including seeds,60.474
2004,Potatoes including seeds,59.228
2004,Potatoes including seeds,62.097
2005,Potatoes including seeds,87.94
2005,Potatoes including seeds,89.452
2005,Potatoes including seeds,86.93
2005,Potatoes including seeds,85.605
2005,Potatoes including seeds,79.66
2005,Potatoes including seeds,75.572
2005,Potatoes including seeds,81.65
2005,Potatoes including seeds,73.847
2005,Potatoes including seeds,84.84
2005,Potatoes including seeds,74.448
2005,Potatoes including seeds,121.14
2005,Potatoes including seeds,103.235
2005,Potatoes including seeds,108.54
2005,Potatoes including seeds,123.915
2005,Potatoes including seeds,111.6
2005,Potatoes including seeds,152.218
2005,Potatoes including seeds,142.37
2005,Potatoes including seeds,149.793
2005,Potatoes including seeds,155.04
2005,Potatoes including seeds,151.062
2005,Potatoes including seeds,148.43
2005,Potatoes including seeds,150.792
2005,Potatoes including seeds,144.98
2005,Potatoes including seeds,151.113
2006,Potatoes including seeds,140.71
2006,Potatoes including seeds,144.023
2006,Potatoes including seeds,145.08
2006,Potatoes including seeds,142.86
2006,Potatoes including seeds,154.2
2006,Potatoes including seeds,145.579
2006,Potatoes including seeds,165.25
2006,Potatoes including seeds,149.258
2006,Potatoes including seeds,173.85
2006,Potatoes including seeds,152.094
2006,Potatoes including seeds,173.82
2006,Potatoes including seeds,148.166
2006,Potatoes including seeds,168.47
2006,Potatoes including seeds,192.636
2006,Potatoes including seeds,144.86
2006,Potatoes including seeds,197.467
2006,Potatoes including seeds,158.39
2006,Potatoes including seeds,166.758
2006,Potatoes including seeds,158.41
2006,Potatoes including seeds,155.028
2006,Potatoes including seeds,154.35
2006,Potatoes including seeds,156.842
2006,Potatoes including seeds,153.67
2006,Potatoes including seeds,160.01
2007,Potatoes including seeds,158.39
2007,Potatoes including seeds,163.875
2007,Potatoes including seeds,163.05
2007,Potatoes including seeds,161.092
2007,Potatoes including seeds,172.88
2007,Potatoes including seeds,161.761
2007,Potatoes including seeds,182.18
2007,Potatoes including seeds,163.866
2007,Potatoes including seeds,182.78
2007,Potatoes including seeds,159.046
2007,Potatoes including seeds,171.12
2007,Potatoes including seeds,145.356
2007,Potatoes including seeds,125.48
2007,Potatoes including seeds,143.583
2007,Potatoes including seeds,95.09
2007,Potatoes including seeds,129.347
2007,Potatoes including seeds,119.1
2007,Potatoes including seeds,126.11
2007,Potatoes including seeds,142.13
2007,Potatoes including seeds,140.558
2007,Potatoes including seeds,136.77
2007,Potatoes including seeds,139.375
2007,Potatoes including seeds,132.65
2007,Potatoes including seeds,137.891
2008,Potatoes including seeds,132.1
2008,Potatoes including seeds,137.414
2008,Potatoes including seeds,138.43
2008,Potatoes including seeds,136.243
2008,Potatoes including seeds,157.52
2008,Potatoes including seeds,146.346
2008,Potatoes including seeds,159.22
2008,Potatoes including seeds,142.959
2008,Potatoes including seeds,165.34
2008,Potatoes including seeds,143.43
2008,Potatoes including seeds,171.13
2008,Potatoes including seeds,145.169
2008,Potatoes including seeds,124.77
2008,Potatoes including seeds,142.991
2008,Potatoes including seeds,105.72
2008,Potatoes including seeds,143.517
2008,Potatoes including seeds,144.78
2008,Potatoes including seeds,154.346
2008,Potatoes including seeds,157.6
2008,Potatoes including seeds,157.233
2008,Potatoes including seeds,156.9
2008,Potatoes including seeds,159.739
2008,Potatoes including seeds,150.86
2008,Potatoes including seeds,155.867
2009,Potatoes including seeds,148.21
2009,Potatoes including seeds,153.868
2009,Potatoes including seeds,167.19
2009,Potatoes including seeds,163.916
2009,Potatoes including seeds,173.67
2009,Potatoes including seeds,161.211
2009,Potatoes including seeds,177.7
2009,Potatoes including seeds,160.292
2009,Potatoes including seeds,186.67
2009,Potatoes including seeds,162.683
2009,Potatoes including seeds,183.5
2009,Potatoes including seeds,155.175
2009,Potatoes including seeds,108.91
2009,Potatoes including seeds,125.013
2009,Potatoes including seeds,94.45
2009,Potatoes including seeds,127.507
2009,Potatoes including seeds,118.62
2009,Potatoes including seeds,126.67
2009,Potatoes including seeds,123.92
2009,Potatoes including seeds,124.601
2009,Potatoes including seeds,126.58
2009,Potatoes including seeds,128.498
2009,Potatoes including seeds,130.22
2009,Potatoes including seeds,133.434
2010,Potatoes including seeds,174.54
2010,Potatoes including seeds,179.352
2010,Potatoes including seeds,171.22
2010,Potatoes including seeds,166.22
2010,Potatoes including seeds,174.41
2010,Potatoes including seeds,163.249
2010,Potatoes including seeds,173.96
2010,Potatoes including seeds,158.876
2010,Potatoes including seeds,174.5
2010,Potatoes including seeds,153.883
2010,Potatoes including seeds,183.13
2010,Potatoes including seeds,154.965
2010,Potatoes including seeds,141.94
2010,Potatoes including seeds,162.894
2010,Potatoes including seeds,103.45
2010,Potatoes including seeds,138.427
2010,Potatoes including seeds,102.23
2010,Potatoes including seeds,108.848
2010,Potatoes including seeds,109.24
2010,Potatoes including seeds,109.857
2010,Potatoes including seeds,105.8
2010,Potatoes including seeds,106.795
2010,Potatoes including seeds,105.37
2010,Potatoes including seeds,106.805
2011,Potatoes including seeds,106.31
2011,Potatoes including seeds,107.993
2011,Potatoes including seeds,114.03
2011,Potatoes including seeds,110.311
2011,Potatoes including seeds,113.82
2011,Potatoes including seeds,107.949
2011,Potatoes including seeds,112.91
2011,Potatoes including seeds,104.621
2011,Potatoes including seeds,113.12
2011,Potatoes including seeds,101.304
2011,Potatoes including seeds,116.62
2011,Potatoes including seeds,98.47
2011,Potatoes including seeds,78.26
2011,Potatoes including seeds,89.525
2011,Potatoes including seeds,68.54
2011,Potatoes including seeds,90.636
2011,Potatoes including seeds,90.45
2011,Potatoes including seeds,95.831
2011,Potatoes including seeds,110.08
2011,Potatoes including seeds,110.571
2011,Potatoes including seeds,96.3
2011,Potatoes including seeds,96.966
2011,Potatoes including seeds,94.09
2011,Potatoes including seeds,94.667
2003,Animal output,99.254
2003,Animal output,98.073
2003,Animal output,97.102
2003,Animal output,97.268
2003,Animal output,97.316
2003,Animal output,96.561
2003,Animal output,94.926
2003,Animal output,94.827
2003,Animal output,94.876
2003,Animal output,95.045
2003,Animal output,96.129
2003,Animal output,97.83
2004,Animal output,100.491
2004,Animal output,102.417
2004,Animal output,103.31
2004,Animal output,103.284
2004,Animal output,104.177
2004,Animal output,104.501
2004,Animal output,101.583
2004,Animal output,99.765
2004,Animal output,99.55
2004,Animal output,97.064
2004,Animal output,98.193
2004,Animal output,97.59
2005,Animal output,106.36
2005,Animal output,105.038
2005,Animal output,104.646
2005,Animal output,103.125
2005,Animal output,102.35
2005,Animal output,101.761
2005,Animal output,97.853
2005,Animal output,94.903
2005,Animal output,96.104
2005,Animal output,96.587
2005,Animal output,100.246
2005,Animal output,104.177
2006,Animal output,105.787
2006,Animal output,104.579
2006,Animal output,104.322
2006,Animal output,104.533
2006,Animal output,104.942
2006,Animal output,103.727
2006,Animal output,100.074
2006,Animal output,99.187
2006,Animal output,101.922
2006,Animal output,102.999
2006,Animal output,103.137
2006,Animal output,103.233
2007,Animal output,105.113
2007,Animal output,103.96
2007,Animal output,102.58
2007,Animal output,104.283
2007,Animal output,104.639
2007,Animal output,108.454
2007,Animal output,109.493
2007,Animal output,113.372
2007,Animal output,118.613
2007,Animal output,118.593
2007,Animal output,119.474
2007,Animal output,121.42
2008,Animal output,125.272
2008,Animal output,128.319
2008,Animal output,127.802
2008,Animal output,122.82
2008,Animal output,121.682
2008,Animal output,122.408
2008,Animal output,119.713
2008,Animal output,118.373
2008,Animal output,116.551
2008,Animal output,114.185
2008,Animal output,111.617
2008,Animal output,111.916
2009,Animal output,108.442
2009,Animal output,106.183
2009,Animal output,100.39
2009,Animal output,100.101
2009,Animal output,100.429
2009,Animal output,101.256
2009,Animal output,96.66
2009,Animal output,94.909
2009,Animal output,97.007
2009,Animal output,98.184
2009,Animal output,99.693
2009,Animal output,101.141
